gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
1,1,0,2,2,2017-05-27 20:59:15,2017-07-21 04:45:01,543.0,56,43.0,204.0,4.0,0,0,91.0,20.0,6.0,53.5,324.0,0.915024129447388,978
0,0,2,3,1,2011-03-01 07:24:41,2017-07-31 21:37:35,1751.875,2345,349.0,505.875,7.0,0,0,100.0,20.0,47.5,53.5,1317.875,0.661673179614133,477
1,1,0,0,2,2006-09-07 20:43:02,2014-09-11 19:17:22,57.0,2927,25.0,25.0,0.0,0,0,3.0,0.0,1.0,3.0,49.0,0.800528377424059,664
1,1,0,1,2,2012-10-03 14:49:16,2012-12-08 18:05:28,104.0,67,5.0,66.0,2.0,0,0,20.0,1.0,2.0,2.0,78.0,1.02771709743701,841
0,0,2,1,1,2007-03-11 12:50:35,2014-11-06 12:10:57,184.0,2798,27.0,125.0,0.0,0,0,26.0,10.0,5.0,24.0,112.0,0.997535302103113,994
1,1,2,3,1,2006-05-26 14:19:42,2017-09-14 13:19:32,1751.875,4130,197.0,505.875,33.5,0,0,7.0,2.0,31.0,10.0,1317.875,0.661673179614133,477
0,0,2,0,1,2013-07-22 23:41:49,2013-07-31 13:06:29,57.0,10,7.0,13.0,1.0,0,0,10.0,0.0,4.0,6.0,37.0,1.05714931610548,1074
1,0,0,3,3,2008-11-05 22:48:14,2017-08-18 01:29:59,1751.875,3209,349.0,376.0,33.5,0,0,109.0,10.0,9.0,53.5,1317.875,1.48165413798567,1596
1,0,0,2,1,2016-01-23 15:25:19,2016-04-29 20:58:37,230.0,98,38.0,31.0,3.0,0,0,109.0,0.0,8.0,0.0,75.0,0.982449108801872,752
1,1,2,3,1,2007-08-30 21:05:19,2017-10-01 20:11:35,1751.875,3686,349.0,505.875,33.5,0,0,29.0,20.0,47.5,53.5,1317.875,0.661673179614133,477
0,0,2,1,3,2011-05-10 15:53:59,2016-09-21 11:24:01,160.0,1962,40.0,42.0,0.0,0,0,36.0,0.0,34.0,28.0,60.0,0.594368207936839,493
1,1,2,3,1,2007-06-01 02:23:34,2016-05-16 01:22:04,1751.875,3273,349.0,505.875,10.0,1,0,109.0,20.0,47.5,53.5,1317.875,0.661673179614133,477
